key,name,description,gender,image,birthdate,deathdate
Q57169979,매튜 다우마,"캐나다의 배우, 사진기자",M,,,
Q12595003,맹사성,,M,,13600828,14381022
Q21521682,맹희도,고려 후기의 문신,M,,,
Q6796230,메이비,"가수, 작사가",F,,19790910,
Q6860973,명빈 박씨,,F,,,17030101
Q483178,명성왕후,조선 현종의 왕비,F,,16420613,16840121
Q464503,명성황후,조선 고종의 왕비이자 추존황후,F,https://commons.wikimedia.org/wiki/Special:FilePath/Queen%20Min-oval%20portrait.jpg,18511019,18951008
Q50973131,명정강,"드럼 연주자, 배우",F,,19600101,20180323
Q12595546,무산군,조선의 왕족,M,,,
Q498707,무안대군,조선 태조의 일곱째 왕자,M,,13810101,13981014
Q56606145,문동표,전 조선일보 편집국장,M,,,
Q16081058,문병호,정치인,M,,19591227,
Q296734,문선명,통일교의 창시자,M,https://commons.wikimedia.org/wiki/Special:FilePath/Rev.%20Sun%20Myung%20Moon%20speaks%2C%20Las%20Vegas%2C%20NV%2C%20USA%20on%20April%204%2C%202010.png,19200225,20120902
Q484380,문성근,"배우, 정치인",M,https://commons.wikimedia.org/wiki/Special:FilePath/Moon%20Seung%20Guen.jpg,19530528,
Q456182,문소리,배우,F,https://commons.wikimedia.org/wiki/Special:FilePath/Moon%20Sori.JPG,19740702,
Q56606151,문소영,호암 문일평의 자녀,F,,,
Q56651460,문영호,의료인,M,,19390101,
Q41520899,문용형,,M,,19200101,19780101
Q626438,문익환,"종교인, 사회운동가",M,https://commons.wikimedia.org/wiki/Special:FilePath/Yun%20dj%20%26%20Mun%20Ih%20%26%20Chang%20Jh.jpg,19180602,19940118
Q15411238,문일평,역사학자,M,,18880101,19390101
Q56651459,문재관,전 제일은행 이사,M,,,
Q21001,문재인,제19대 대통령,M,https://commons.wikimedia.org/wiki/Special:FilePath/Moon%20Jae-in%20May%202017.jpg,19530124,
Q12595795,문정숙,배우,F,,19270329,20000301
Q486286,문정왕후,조선 중종의 계비,F,,15020201,15660108
Q484065,문효세자,조선 정조의 장자,M,,17820907,17860511
Q488600,문희준,"가수, 배우",M,https://commons.wikimedia.org/wiki/Special:FilePath/%28%28TV10%29%20%EB%AC%B8%ED%9D%AC%EC%A4%80%EC%9D%B4%20%EB%B0%9D%ED%9E%8C%20%EC%86%8C%EC%9C%A8%EA%B3%BC%EC%9D%98%20%EA%B2%B0%ED%98%BC%20%EC%86%8C%EA%B0%90%20%28feat.%20%ED%81%AC%EB%A0%88%EC%9A%A9%ED%8C%9D%20%EB%B9%A0%EB%B9%A0%EB%B9%A0%29%201m14s.jpg,19780314,
Q47004960,민유숙,,F,,19650313,
Q11343022,민준호,South Korean actor,M,https://commons.wikimedia.org/wiki/Special:FilePath/Min%20Jun%20Ho.jpg,,
Q12596321,민지환,,M,,19370816,
Q12596347,민회빈 강씨,,F,,16110101,16460101
Q484366,민효린,South Korean actress,F,https://commons.wikimedia.org/wiki/Special:FilePath/180928%20%EB%AF%BC%ED%9A%A8%EB%A6%B0.jpg,19860228,
Q56668980,박강자,금호미술관장,F,,19410101,
Q56665039,박건배,"기업인, 전 해태그룹 회장",M,,,
Q56664506,박경애,금호그룹 창업주의 자녀,F,,19340101,
Q56698261,박계희,전 워커힐미술관장,F,,19350101,
